order_id,product_id,quantity
ORD-0020674,327.0,1
ORD-0003276,1446.0,3
ORD-0015563,1329.0,1
ORD-0018816,657.0,3
ORD-0010236,284.0,2
ORD-0000617,30.0,4
ORD-0012522,1356.0,3
ORD-0009095,1301.0,1
ORD-0001203,1151.0,4
ORD-0018515,1152.0,1
ORD-0021877,1187.0,4
ORD-0011060,807.0,2
ORD-0013260,722.0,3
ORD-0000328,1411.0,3
ORD-0009911,1351.0,-3
ORD-0021544,76.0,1
ORD-0024827,1378.0,1
ORD-0017425,468.0,1
ORD-0003501,636.0,3
ORD-0005931,917.0,2
ORD-0020200,456.0,4
ORD-0004485,22.0,4
ORD-0009331,668.0,4
ORD-0006479,294.0,4
ORD-0007451,1468.0,1
ORD-0014845,384.0,1
ORD-0009494,161.0,1
ORD-0006430,1330.0,1
ORD-0008764,907.0,2
ORD-0006754,492.0,3
ORD-0021883,574.0,1
ORD-0007246,835.0,1
ORD-0021805,332.0,3
ORD-0018662,159.0,1
ORD-0020267,1044.0,4
ORD-0009158,44.0,2
ORD-0003889,1214.0,2
ORD-0012758,1330.0,4
ORD-0005628,1406.0,1
ORD-0008932,148.0,2
ORD-0010697,251.0,4
ORD-0006685,1435.0,4
ORD-0017563,1427.0,3
ORD-0005930,427.0,2
ORD-0022566,427.0,2
ORD-0012709,1120.0,3
ORD-0020263,,4
ORD-0020470,430.0,2
ORD-0014160,873.0,4
ORD-0011064,492.0,1
ORD-0011140,1447.0,1
ORD-0016833,935.0,4
ORD-0003604,1179.0,2
ORD-0020991,1274.0,2
ORD-0023698,744.0,3
ORD-0022531,1178.0,-4
ORD-0004570,1215.0,1
ORD-0008205,1160.0,2
ORD-0019751,148.0,3
ORD-0018627,750.0,2
ORD-0003763,1103.0,1
ORD-0012534,592.0,4
ORD-0000422,835.0,4
ORD-0013367,515.0,4
ORD-0018394,664.0,4
ORD-0009890,1159.0,1
ORD-0000942,673.0,4
ORD-0005116,399.0,1
ORD-0021550,1222.0,3
ORD-0009855,1462.0,4
ORD-0021594,760.0,1
ORD-0018043,1041.0,1
ORD-0021537,1197.0,4
ORD-0003835,50.0,2
ORD-0016798,519.0,1
ORD-0011038,1497.0,4
ORD-0003114,15.0,4
ORD-0018595,1331.0,1
ORD-0008249,34.0,2
ORD-0009705,431.0,1
ORD-0015798,653.0,1
ORD-0013296,1150.0,3
ORD-0007475,170.0,4
ORD-0019708,1003.0,1
ORD-0007367,1138.0,3
ORD-0003100,821.0,4
ORD-0020765,272.0,2
ORD-0019220,1343.0,1
ORD-0007911,1142.0,3
ORD-0013989,121.0,4
